source	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/bpt6k58365522.xml	Anonyme		Épitre à M. Victor Hugo, avec des notes romantiques...	http://gallica.bnf.fr/ark:/12148/bpt6k58365522
http://obvil.github.io/critique2000/tei/bpt6k58367609.xml	Reynier, Gustave (1859-1937)	1937	Les femmes savantes de Molière : étude et analyse / par Gustave Reynier,...	http://gallica.bnf.fr/ark:/12148/bpt6k58367609	Mellottée (Paris)
http://obvil.github.io/critique2000/tei/bpt6k5837562r.xml	Gebhart, Émile (1839-1908)	1877	Rabelais, la Renaissance et la Réforme / par Émile Gebhart,...	http://gallica.bnf.fr/ark:/12148/bpt6k5837562r	Hachette (Paris)
http://obvil.github.io/critique2000/tei/bpt6k5837566d.xml	Lanson, Gustave (1857-1934)	1921	Manuel bibliographique de la littérature française moderne : XVIe, XVIIe, XVIIIe et XIXe siècles. T. 2 / Gustave Lanson	http://gallica.bnf.fr/ark:/12148/bpt6k5837566d	Hachette (Paris)
http://obvil.github.io/critique2000/tei/bpt6k58375880.xml	Friedel, Adrien Chrétien (1753-1786)	1782	Nouveau théâtre allemand . Par MM. Friedel et de Bonneville	http://gallica.bnf.fr/ark:/12148/bpt6k58375880	[s.n.] (Paris)
http://obvil.github.io/critique2000/tei/bpt6k5837758j.xml	Topin, Marius (1838-1895)	1872	Le Cardinal de Retz : son génie et ses écrits (3e édition) / par Marius Topin	http://gallica.bnf.fr/ark:/12148/bpt6k5837758j	Didier (Paris)
http://obvil.github.io/critique2000/tei/bpt6k5839163d.xml	Brunot, Ferdinand (1860-1938)	1926	Histoire de la langue française, des origines à 1900. 7, La propagation du français en France jusqu'à la fin de l'ancien régime / Ferdinand Brunot,...	http://gallica.bnf.fr/ark:/12148/bpt6k5839163d	A. Colin (Paris)
http://obvil.github.io/critique2000/tei/bpt6k5839198m.xml	Brunot, Ferdinand (1860-1938)	1917	Histoire de la langue française, des origines à 1900. 5, Le français en France et hors de France au XVIIe siècle / Ferdinand Brunot,...	http://gallica.bnf.fr/ark:/12148/bpt6k5839198m	A. Colin (Paris)
http://obvil.github.io/critique2000/tei/bpt6k58392786.xml	Brunot, Ferdinand (1860-1938)	1909	Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 1 / Ferdinand Brunot,...	http://gallica.bnf.fr/ark:/12148/bpt6k58392786	A. Colin (Paris)
http://obvil.github.io/critique2000/tei/bpt6k58397370.xml	Brunot, Ferdinand (1860-1938)	1909	Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 2 / Ferdinand Brunot,...	http://gallica.bnf.fr/ark:/12148/bpt6k58397370	A. Colin (Paris)
http://obvil.github.io/critique2000/tei/bpt6k5840001f.xml	Molière (1622-1673)	1896	Le Tartuffe des comédiens. Notes sur Tartuffe (2e édition) / [par Molière] ; par P. Régnier,...	http://gallica.bnf.fr/ark:/12148/bpt6k5840001f	P. Ollendorff (Paris)
